git-scm,26,"[""git""]"
audacity,26,"[""audacity""]"
teamviewer,24,"[""teamviewer""]"
irfanview,22,"[""irfanview""]"
filemaker,21,"[""filemaker_pro"",""filemaker_pro_advanced""]"
corel,18,"[""winzip"",""paint_shop_pro"",""update_manager"",""iconhandler"",""painter""]"
docker,17,"[""docker"",""desktop""]"
vmware,15,"[""vsphere_client"",""tools"",""workstation"",""horizon""]"
citrix,15,"[""online_plug-in"",""receiver"",""workspace"",""receiver_aero"",""receiver_dv"",""receiver_hdx_flash_redirection"",""receiver_inside"",""receiver_sson"",""receiver_usb""]"
macromedia,15,"[""flash_player"",""acrobat_reader_dc""]"
cyberlink,14,"[""power2go"",""powerdirector"",""powerdvd"",""labelprint""]"
github,14,"[""github_desktop"",""atom"",""github""]"
nuance,14,"[""pdf_converter"",""paperport"",""paperport_image_printer"",""dragon_naturallyspeaking""]"
sap,13,"[""crystal_reports""]"
logitech,13,"[""setpoint"",""camerahelpermsi"",""ereg"",""lws_facebook"",""lws_gallery"",""lws_help_main"",""lws_launcher"",""lws_motion_detection"",""lws_pictures_and_video"",""lws_twitter"",""lws_webcam_software"",""lws_wlm_plugin"",""lws_youtube_plugin"",""webcam_software""]"
broadcom,13,"[""controlvault_host_components_installer"",""widcomm_bluetooth""]"
keepass,13,"[""password_safe""]"
brother,13,"[""p-touch_editor"",""mfl-pro_suite""]"
agilebits,13,"[""1password""]"
nitro,12,"[""nitro_pro""]"
wireshark,12,"[""wireshark""]"
trimble,11,"[""sketchup""]"
fileopen,11,"[""fileopen_client""]"
nmap,10,"[""npcap""]"
sparxsystems,9,"[""enterprise_architect""]"
jam-software,9,"[""treesize""]"
businessobjects,8,"[""crystal_reports_.net_runtime""]"
2brightsparks,7,"[""syncback""]"
valve,7,"[""steam""]"
jetbrains,7,"[""toolbox"",""pycharm""]"
qnap,7,"[""qfinder_pro""]"
sas,7,"[""sas_enterprise_guide""]"
helios,7,"[""textpad""]"
k-litecodec,6,"[""k-lite_codec""]"
atlassian,6,"[""sourcetree"",""companion""]"
tracker-software,6,"[""pdf-xchange_editor"",""pdf-xchange_viewer""]"
hikvision,6,"[""ivms-4200""]"
mobatek,6,"[""mobaxterm""]"
bentley,6,"[""bentley_view"",""microstation""]"
synology,6,"[""assistant"",""cloud_station"",""photo_station_uploader""]"
amazon,5,"[""kindle""]"
riverbed,5,"[""winpcap""]"
3cx,5,"[""3cx""]"
evernote,5,"[""evernote""]"
gemalto,5,"[""sentinel_license_manager""]"
piriform,5,"[""ccleaner"",""recuva""]"
